"title","average_vote","popularity","tagline"
"Moulin Rouge!","7.4","57.374341","No Laws. No Limits. One Rule. Never Fall In Love."
"The Great Gatsby","7.3","61.196071","Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit."
"Romeo + Juliet","6.7","41.493042","My only love sprung from my only hate."
"Australia","6.3","28.840997","Welcome to Australia!"
