director_id,director
66190,Tony Bancroft
1504620,Giovanni Zelko
1263110,Travis Legge
73588,Marc Schölermann
57997,Malcolm Goodwin
586066,Doug Block
1053020,Sterling Van Wagenen
68994,Ron Fricke
19840,Alejandro Amenábar
67106,Robert Sarkies
75699,Lisa Cholodenko
74105,Ricki Stern
68750,Robert Townsend
18311,Joe Roth
6980,Émile Gaudreault
449832,Hayley Cloake
11430,Jim Handley
1009253,Jason Trost
8246,Barry Levinson
1724,Roger Spottiswoode
59521,Jaume Collet-Serra
240740,Daniel Junge
133406,Dan Rush
23799,Uwe Boll
27571,David Slade
86482,Mark Tonderai
57865,Álex de la Iglesia
15148,Jon Amiel
96439,Nanette Burstein
56591,Danny Leiner
1288774,Cary Bell
1111709,Tom Putnam
84451,Leon Ford
223,Alejandro González Iñárritu
57594,John Cornell
9049,Victor Fleming
84981,Brian Trenchard-Smith
82839,Henry Alex Rubin
45117,John Carney
14674,George Cukor
26713,Chuck Russell
58628,Sara Sugarman
66514,Adam Jay Epstein
1434676,Terron R. Parsons
79434,Craig Zobel
55117,Matthew Bright
15219,Marc Abraham
70890,Adam Green
2689,Jeff Nathanson
686,Willard Huyck
20218,Eric Bress
54441,James Ivory
22012,David Worth
5953,Spike Jonze
27005,Don Michael Paul
36083,Kevin Allen
52934,Nicholas Stoller
85242,Kevin Jordan
15056,Michael Gornick
139135,Lena Dunham
133259,Arthur Hiller
134156,Sam Miller
52405,Michael Hoffman
57885,Michael Wadleigh
3224,Stephen Frears
646785,Kim Nguyen
293911,Scott Waugh
88142,Vipul Amrutlal Shah
50460,Michael Mayer
137467,Ben Wheatley
57405,Jeff Schaffer
1283831,Antonio Simoncini
70287,Will Finn
185438,Genndy Tartakovsky
4755,David R. Ellis
15775,Kevin Lima
1201,Garry Marshall
17608,Rowan Joffe
11809,Rupert Wainwright
17278,Nick Gomez
52443,Jason Reitman
11266,James McTeigue
31493,Alex Cox
929917,Lee Sternthal
129715,Agnieszka Wojtowicz-Vosloo
32813,Dominique Othenin-Girard
1023720,Johnny Remo
664,Frank Marshall
9198,Vincent Ward
133398,Quentin Dupieux
7191,David Webb Peoples
117794,Chris Morris
7930,Jan Pinkava
1271,Andy García
2352,Jean-Jacques Annaud
21305,Lloyd Bacon
15812,Roger Allers
19000,Wayne Kramer
57436,Christopher Leitch
544748,Caryn Waechter
18356,Stephen Herek
60074,Jeff Garlin
33315,Richard Loncraine
557818,Jonathan Kesselman
145045,Robert Heath
42171,Jonathan Kaplan
86688,Levan Gabriadze
28902,Gregory Widen
1343882,James Manera
51894,Juan Antonio Bayona
8029,Jimmy Hayward
64722,John Carl Buechler
930627,Youssef Delara
125738,Daniel Espinosa
26849,Daniel Myrick
3092,Diane Keaton
1149038,Duane Journey
10179,John Glen
228797,Richard Kwietniowski
95723,Richard Wallace
53925,Jared Hess
19274,Seth Rogen
112630,Dean Wright
55710,Adam McKay
21031,Alejandro Agresti
4453,Thomas Vinterberg
33433,Scott Hicks
57130,Todd Phillips
77300,Michael Schultz
58189,Justin Lin
28239,David Twohy
122449,Steve James
1498767,Khalil Sullins
17042,Greg Harrison
61069,Miguel Arteta
1577,Richard Kelly
144221,Brad Furman
37360,Henry Hathaway
7409,J.B. Rogers
68352,Carter Smith
930701,Marius Markevicius
2209,Jan de Bont
1216735,Paul Abascal
1354171,Henry Hobson
938649,Amanda Gusack
18865,Louis Leterrier
45627,Nelson McCormick
107414,Philip Saville
27846,John Herzfeld
15557,Bill Condon
56578,Jeff Tremaine
96745,Stephen Milburn Anderson
40863,Joe Swanberg
3227,Steve Pink
87191,Billy Kent
71339,Rick Bieber
64815,Robert Iscove
59412,Michael Patrick Jann
97026,John Luessenhop
116370,Matthew Diamond
19665,John Boorman
17281,Mike Hodges
30870,Dave Payne
132857,Eric Wareheim
52479,Eli Craig
65310,Kenny Ortega
545261,Cassandra Nicolaou
33254,Jim Gillespie
5045,Dan O'Bannon
67750,Liliana Cavani
42952,Michael Burke
566328,Michael Sucsy
51864,Kasi Lemmons
110618,Cyrus Nowrasteh
19006,Rachel Grady
229182,Andrew Leman
98094,Brett Piper
54710,Jody Hill
42,Lars von Trier
84697,E.L. Katz
65615,Wych Kaosayananda
59023,Stewart Raffill
96222,Laurie Collyer
2053,Bill Paxton
131668,Nathan Frankowski
66880,Thorbjørn Christoffersen
79726,John D. Hancock
24173,Mike Binder
65317,Jake Scott
77277,Nate Parker
142272,Henry Joost
11151,Nick Cassavetes
2087,Richard Fleischer
19800,Richard Marquand
12833,Edward Burns
45996,Ryûhei Kitamura
53069,Anna Boden
28898,Michael Radford
120615,Tom Ford
3288,Chris Weitz
9789,Robert Altman
71797,Alex Gibney
94108,Dennis Iliadis
41550,Andrew Bergman
486,Wallace Wolodarsky
62369,Olatunde Osunsanmi
1110059,Travis Romero
12099,Raman Hui
6038,Greg Strause
16860,Miranda July
56828,Christopher Cain
20219,J. Mackye Gruber
56435,Stephen T. Kay
36693,Richard Eyre
582527,Eric England
114615,Patrick Doughtie
210562,Catherine Jelski
50942,Gregory Poirier
1187357,James Kerwin
432629,Shintaro Shimosawa
2662,Frank Capra
33341,Rick Rosenthal
15531,Ossie Davis
67813,Baltasar Kormákur
64735,Rob Hedden
1162816,Deborah Anderson
8858,Ivan Reitman
7775,Stephen Sommers
31497,John Cromwell
4135,Robert Redford
33279,Danny Cannon
15115,Stefan Ruzowitzky
1199049,Anthony Silverston
1223175,Elizabeth Allen Rosenbaum
17845,Michael Meredith
40243,Gil Junger
82219,Luis Valdez
43439,Scott Ziehl
7018,Richard Curtis
86195,Peter Merwin
22140,Kari Skogland
1027737,Robin Budd
85675,Rajkumar Hirani
232216,Carmen Marron
18738,George Stevens
78485,Jeff McGrath
67897,Jeff Kanew
1201090,Sherman Alexie
17246,Phil Morrison
7395,Bobby Farrelly
62721,Andrew Douglas
58868,Troy Miller
12058,Vicky Jenson
587800,Todd Lincoln 
10765,Andrzej Bartkowiak
934,Russell Crowe
558540,Mike Bruce
58040,Bruce Malmuth
107447,Michel O. Scott
13079,Gavin Hood
1085904,Ramaa Mosley
13776,John Frankenheimer
64149,Peter Hastings
85925,Hilary Brougher
4910,Michael Clancy
57138,Tony Bill
2380,David Carson
126945,Brian Percival
82286,Marc Levin
558559,Al Silliman Jr.
57206,Sally Potter
60496,James Gartner
168798,Josh Schwartz
769,Martin Brest
2460,Randall Wallace
